RAP,GID,Tissue,Organ,Gene.ID,References
Os01g0127900,LOC_Os01g03710,"leaf epidermis,leaf procambium",Leaf,Os01g0127900,PCMDB
Os01g0128100,LOC_Os01g03740,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0128100,PCMDB
Os01g0128200,LOC_Os01g03730,"leaf epidermis,leaf procambium",Leaf,Os01g0128200,PCMDB
Os01g0128300,LOC_Os01g03750,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,MHZ4,PCMDB
Os01g0128400,LOC_Os01g03760,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os01g0128400,PCMDB
Os01g0129600,LOC_Os01g03890,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0129600,PCMDB
Os01g0130000,LOC_Os01g03914,"leaf mesophyll,mestome sheath,leaf procambium,Leaf preprocambium",Leaf,OsMTP9,PCMDB
Os01g0130200,LOC_Os01g03940,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,NRR,PCMDB
Os01g0130400,LOC_Os01g03950,leaf mesophyll,Leaf,Os01g0130400,PCMDB
Os01g0130900,LOC_Os01g03980,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0130900,PCMDB
Os01g0131300,LOC_Os01g04010,"leaf mesophyll,leaf procambium",Leaf,Os01g0131300,PCMDB
Os01g0131600,LOC_Os01g04020,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,OsAP2,PCMDB
Os01g0132000,LOC_Os01g04050,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,IAI2,PCMDB
Os01g0132500,LOC_Os01g04100,leaf mesophyll,Leaf,Os01g0132500,PCMDB
Os01g0132700,LOC_Os01g04110,leaf mesophyll,Leaf,OsMed22_1,PCMDB
Os01g0133400,LOC_Os01g04190,"leaf mesophyll,mestome sheath",Leaf,OsPGLCT,PCMDB
Os01g0133500,LOC_Os01g04200,"leaf epidermis,leaf mesophyll",Leaf,OSJNBa0083M16.21-2,PCMDB
Os01g0134500,LOC_Os01g04260,"leaf mesophyll,mestome sheath",Leaf,OsSTE1,PCMDB
Os01g0135700,LOC_Os01g04330,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsCML16,PCMDB
Os01g0135900,LOC_Os01g04350,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Oshsp17.9B.,PCMDB
Os01g0136000,LOC_Os01g04360,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Oshsp16.9C,PCMDB
Os01g0136100,LOC_Os01g04370,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Oshsp16.9A,PCMDB
Os01g0136200,LOC_Os01g04380,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Oshsp16.9B,PCMDB
Os01g0136800,LOC_Os01g04450,"leaf mesophyll,leaf procambium",Leaf,OsWAK2,PCMDB
Os01g0138400,LOC_Os01g04580,"leaf mesophyll,Leaf preprocambium",Leaf,Os01g0138400,PCMDB
Os01g0138500,LOC_Os01g04590,"leaf epidermis,leaf mesophyll",Leaf,Os01g0138500,PCMDB
Os01g0138600,LOC_Os01g04600,leaf mesophyll,Leaf,Os01g0138600,PCMDB
Os01g0138800,LOC_Os01g04620,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0138800,PCMDB
Os01g0140500,LOC_Os01g04730,leaf mesophyll,Leaf,RPL24b,PCMDB
Os01g0140700,LOC_Os01g04750,leaf mesophyll,Leaf,AP2/EREBP#077,PCMDB
Os01g0141000,LOC_Os01g04800,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,AP2/EREBP129,PCMDB
Os01g0141100,LOC_Os01g04814,"leaf mesophyll,mestome sheath",Leaf,OsSKD1,PCMDB
Os01g0141200,LOC_Os01g04830,mestome sheath,Leaf,Os01g0141200,PCMDB
Os01g0142500,LOC_Os01g04930,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0142500,PCMDB
Os01g0142600,LOC_Os01g04950,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0142600,PCMDB
Os01g0142800,LOC_Os01g04950,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsNPF8.1,PCMDB
Os01g0143800,LOC_Os01g05060,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0143800,PCMDB
Os01g0143900,LOC_Os01g05064,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os01g0143900,PCMDB
Os01g0144000,LOC_Os01g05070,leaf mesophyll,Leaf,Os01g0144000,PCMDB
