RAP,GID,Tissue,Organ,Gene.ID,References
Os01g0973600,LOC_Os01g74250,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0973600,PCMDB
Os01g0974200,LOC_Os01g74300,"leaf epidermis,mestome sheath,leaf procambium,Phloem",Leaf,OsMT2c,PCMDB
Os01g0974800,LOC_Os01g74350,"leaf epidermis,mestome sheath",Leaf,Os01g0974800,PCMDB
Os01g0976300,LOC_Os01g74490,leaf mesophyll,Leaf,Os01g0976300,PCMDB
Os01g0976600,LOC_Os01g74520,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,COQ5,PCMDB
Os01g0977200,LOC_Os01g74580,"leaf epidermis,leaf mesophyll",Leaf,OsDjC15,PCMDB
Os01g0978100,LOC_Os01g74650,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Mesophyll precursor",Leaf,Os01g0978100,PCMDB
Os02g0100300,LOC_Os02g01030,leaf mesophyll,Leaf,OsHSP40,PCMDB
Os02g0100700,LOC_Os02g01070,"leaf mesophyll,leaf procambium",Leaf,Os02g0100700,PCMDB
Os02g0101400,LOC_Os02g01140,leaf epidermis,Leaf,OsGELP29,PCMDB
Os02g0101700,LOC_Os02g01170,mestome sheath,Leaf,Os02g0101700,PCMDB
Os02g0102700,LOC_Os02g01250,leaf epidermis,Leaf,Os02g0102700,PCMDB
Os02g0103700,LOC_Os02g01332,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os02g0103700,PCMDB
Os02g0103800,LOC_Os02g01340,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsLFNR1,PCMDB
Os02g0104200,LOC_Os02g01360,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsMADS60,PCMDB
Os02g0104800,LOC_Os02g01450,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,OJA1212_C06.19,PCMDB
Os02g0105400,LOC_Os02g01510,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,LDH,PCMDB
Os02g0105500,LOC_Os02g01520,leaf mesophyll,Leaf,Os02g0105500,PCMDB
Os02g0105700,LOC_Os02g01540,leaf mesophyll,Leaf,Os02g0105700,PCMDB
Os02g0105900,LOC_Os02g01560,leaf mesophyll,Leaf,RPS4,PCMDB
Os02g0106800,LOC_Os02g01720,leaf epidermis,Leaf,Os02g0106800,PCMDB
Os02g0106900,LOC_Os02g01730,leaf epidermis,Leaf,OsRLCK58,PCMDB
Os02g0106966,LOC_Os02g01740,leaf mesophyll,Leaf,Os02g0106966,PCMDB
Os02g0107000,LOC_Os02g01740,leaf mesophyll,Leaf,Os02g0107000,PCMDB
Os02g0107600,LOC_Os02g01790,mestome sheath,Leaf,P0017C12.10-1,PCMDB
Os02g0107800,LOC_Os02g01810,leaf procambium,Leaf,Os02g0107800,PCMDB
Os02g0109800,LOC_Os02g01960,"leaf epidermis,mestome sheath,Xylem",Leaf,Os02g0109800,PCMDB
Os02g0110700,LOC_Os02g02050,"leaf epidermis,leaf procambium",Leaf,CHR744,PCMDB
Os02g0111700,LOC_Os02g02130,leaf mesophyll,Leaf,Os02g0111700,PCMDB
Os02g0114000,LOC_Os02g02290,"leaf mesophyll,leaf procambium",Leaf,Os02g0114000,PCMDB
Os02g0114033,LOC_Os02g02290,"leaf mesophyll,leaf procambium",Leaf,Os02g0114033,PCMDB
Os02g0114200,LOC_Os02g02320,"leaf epidermis,Xylem",Leaf,CBP3,PCMDB
Os02g0114400,LOC_Os02g02340,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,GPAT,PCMDB
Os02g0115700,LOC_Os02g02400,leaf mesophyll,Leaf,CATA1,PCMDB
Os02g0115900,LOC_Os02g02410,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsBiP1,PCMDB
Os02g0116600,LOC_Os02g02480,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsbHLH059,PCMDB
Os02g0117100,LOC_Os02g02520,"leaf mesophyll,Mesophyll precursor",Leaf,Os02g0117100,PCMDB
Os02g0117200,LOC_Os02g02524,"leaf epidermis,leaf mesophyll",Leaf,Os02g0117200,PCMDB
Os02g0117400,LOC_Os02g02530,leaf procambium,Leaf,SPP1,PCMDB
Os02g0117800,LOC_Os02g02570,leaf mesophyll,Leaf,OsATG5,PCMDB
Os02g0118000,LOC_Os02g02590,"leaf mesophyll,leaf procambium",Leaf,Os02g0118000,PCMDB
Os02g0118200,LOC_Os02g02600,leaf mesophyll,Leaf,OsRLCK60,PCMDB
Os02g0118400,LOC_Os02g02620,leaf mesophyll,Leaf,STLP4,PCMDB
Os02g0119100,LOC_Os02g02690,"leaf epidermis,mestome sheath",Leaf,SIP9,PCMDB
Os02g0119200,LOC_Os02g02700,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Leaf preprocambium",Leaf,Os02g0119200,PCMDB
Os02g0119300,LOC_Os02g02710,leaf mesophyll,Leaf,Os02g0119300,PCMDB
Os02g0119400,LOC_Os02g02720,"leaf mesophyll,mestome sheath",Leaf,Os02g0119400,PCMDB
Os02g0119600,LOC_Os02g02730,"leaf mesophyll,mestome sheath",Leaf,Os02g0119600,PCMDB
Os02g0119800,LOC_Os02g02750,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os02g0119800,PCMDB
Os02g0120100,LOC_Os02g02780,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsACTPK1,PCMDB
Os02g0120800,LOC_Os02g02840,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsRacB,PCMDB
Os02g0121000,LOC_Os02g02860,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0121000,PCMDB
Os02g0121100,LOC_Os02g02870,leaf mesophyll,Leaf,OsCSP1,PCMDB
Os02g0121300,LOC_Os02g02890,"leaf epidermis,mestome sheath,leaf procambium",Leaf,LRT2,PCMDB
Os02g0121400,LOC_Os02g02900,leaf mesophyll,Leaf,Os02g0121400,PCMDB
Os02g0121600,LOC_Os02g02920,"leaf mesophyll,Phloem",Leaf,Os02g0121600,PCMDB
Os02g0121800,LOC_Os02g02940,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,SDH3-1,PCMDB
Os02g0122000,LOC_Os02g02960,leaf epidermis,Leaf,Os02g0122000,PCMDB
Os02g0122500,LOC_Os02g03010,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,P0575F10.3,PCMDB
Os02g0122600,LOC_Os02g03020,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os02g0122600,PCMDB
Os02g0122800,LOC_Os02g03040,leaf mesophyll,Leaf,P0575F10.6-1,PCMDB
Os02g0123500,LOC_Os02g03100,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsM6PR1,PCMDB
Os02g0123600,LOC_Os02g03110,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0123600,PCMDB
Os02g0124800,LOC_Os02g03230,leaf mesophyll,Leaf,Os02g0124800,PCMDB
Os02g0125100,LOC_Os02g03260,"leaf mesophyll,leaf procambium",Leaf,Os02g0125100,PCMDB
Os02g0125300,LOC_Os02g03280,"leaf mesophyll,leaf procambium",Leaf,OsBI-1,PCMDB
Os02g0125700,LOC_Os02g03330,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Mesophyll precursor",Leaf,OsLIL3,PCMDB
Os02g0126800,LOC_Os02g03450,leaf epidermis,Leaf,Os02g0126800,PCMDB
Os02g0127900,LOC_Os02g03560,mestome sheath,Leaf,Os02g0127900,PCMDB
Os02g0128200,LOC_Os02g03580,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,OsbZIP13,PCMDB
Os02g0128600,LOC_Os02g03610,"leaf epidermis,leaf procambium",Leaf,OsARFB1b,PCMDB
Os02g0129700,LOC_Os02g03700,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os02g0129700,PCMDB
Os02g0129800,LOC_Os02g03710,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os02g0129800,PCMDB
Os02g0129900,LOC_Os02g03720,"leaf mesophyll,leaf procambium",Leaf,Os02g0129900,PCMDB
Os02g0130100,LOC_Os02g03740,"leaf mesophyll,leaf procambium",Leaf,Os02g0130100,PCMDB
Os02g0131100,LOC_Os02g03840,"mestome sheath,leaf procambium",Leaf,Os02g0131100,PCMDB
Os02g0131300,LOC_Os02g03860,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsMASP1,PCMDB
Os02g0131700,LOC_Os02g03890,"leaf mesophyll,leaf procambium",Leaf,Os02g0131700,PCMDB
Os02g0133300,LOC_Os02g04040,"leaf mesophyll,leaf procambium",Leaf,SMC3,PCMDB
Os02g0134000,LOC_Os02g04120,leaf mesophyll,Leaf,Os02g0134000,PCMDB
Os02g0134200,LOC_Os02g04130,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsSGL,PCMDB
Os02g0134300,LOC_Os02g04160,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,OsTEF1,PCMDB
Os02g0134400,LOC_Os02g04170,mestome sheath,Leaf,OsLASPO,PCMDB
Os02g0134500,LOC_Os02g04180,leaf mesophyll,Leaf,Os02g0134500,PCMDB
Os02g0135200,LOC_Os02g04230,leaf procambium,Leaf,OsMPK13,PCMDB
Os02g0135500,LOC_Os02g04250,mestome sheath,Leaf,P0585B01.29-1,PCMDB
Os02g0136150,LOC_Os02g04369,"mestome sheath,leaf procambium",Leaf,Os02g0136150,PCMDB
Os02g0137100,LOC_Os02g04450,"leaf epidermis,mestome sheath,leaf procambium",Leaf,Os02g0137100,PCMDB
Os02g0137200,LOC_Os02g04460,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Mesophyll precursor",Leaf,Os02g0137200,PCMDB
Os02g0137450,LOC_Os02g04490,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsHAC703,PCMDB
Os02g0137500,LOC_Os02g04490,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsHAC703,PCMDB
Os02g0137800,LOC_Os02g04520,"leaf mesophyll,leaf procambium",Leaf,RGG2,PCMDB
Os02g0139600,LOC_Os02g04700,leaf mesophyll,Leaf,Os02g0139600,PCMDB
Os02g0139650,LOC_Os02g04710,leaf mesophyll,Leaf,Os02g0139650,PCMDB
Os02g0139700,LOC_Os02g04710,leaf mesophyll,Leaf,OsOSC2,PCMDB
Os02g0141500,LOC_Os02g04860,leaf epidermis,Leaf,Os02g0141500,PCMDB
Os02g0143100,LOC_Os02g05030,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,SPP2,PCMDB
Os02g0146500,LOC_Os02g05320,"leaf mesophyll,mestome sheath",Leaf,Os02g0146500,PCMDB
Os02g0146600,LOC_Os02g05330,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,eIF-4a,PCMDB
Os02g0146900,LOC_Os02g05360,leaf mesophyll,Leaf,OJ1008_C03.13-1,PCMDB
Os02g0147700,LOC_Os02g05440,"leaf epidermis,leaf mesophyll",Leaf,OJ1008_C03.26-2,PCMDB
Os02g0148100,LOC_Os02g05480,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsMAPK33,PCMDB
Os02g0149800,LOC_Os02g05630,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsPP2C10,PCMDB
Os02g0150100,LOC_Os02g05660,"leaf mesophyll,leaf procambium",Leaf,OsRH35A,PCMDB
Os02g0150300,LOC_Os02g05680,"mestome sheath,Xylem",Leaf,Os02g0150300,PCMDB
Os02g0150900,LOC_Os02g05710,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0150900,PCMDB
Os02g0151300,LOC_Os02g05744,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsGH9B7,PCMDB
Os02g0152400,LOC_Os02g05830,"leaf mesophyll,leaf procambium",Leaf,RbcS1,PCMDB
Os02g0153200,LOC_Os02g05920,leaf mesophyll,Leaf,LRK7,PCMDB
Os02g0153400,LOC_Os02g05930,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,LRK6,PCMDB
Os02g0154200,LOC_Os02g05980,leaf mesophyll,Leaf,LRK1,PCMDB
Os02g0154600,LOC_Os02g06010,leaf mesophyll,Leaf,Os02g0154600,PCMDB
Os02g0155400,LOC_Os02g06090,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0155400,PCMDB
Os02g0156100,LOC_Os02g06170,leaf mesophyll,Leaf,Os02g0156100,PCMDB
Os02g0159200,LOC_Os02g06430,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0159200,PCMDB
Os02g0160200,LOC_Os02g06520,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,OsFbox068,PCMDB
Os02g0161200,LOC_Os02g06584,"leaf mesophyll,mestome sheath",Leaf,OsC3H13,PCMDB
Os02g0161400,LOC_Os02g06592,leaf mesophyll,Leaf,Os02g0161400,PCMDB
Os02g0162000,LOC_Os02g06650,"leaf epidermis,leaf mesophyll",Leaf,Os02g0162000,PCMDB
Os02g0162500,LOC_Os02g06700,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os02g0162500,PCMDB
Os02g0162700,LOC_Os02g06720,"leaf mesophyll,leaf procambium",Leaf,OsWD40-37,PCMDB
Os02g0162733,LOC_Os02g06720,"leaf mesophyll,leaf procambium",Leaf,Os02g0162733,PCMDB
Os02g0164800,LOC_Os02g06890,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os02g0164800,PCMDB
Os02g0164900,LOC_Os02g06910,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsARF6a,PCMDB
Os02g0165000,LOC_Os02g06920,leaf procambium,Leaf,Os02g0165000,PCMDB
Os02g0166600,LOC_Os02g07010,leaf epidermis,Leaf,Os02g0166600,PCMDB
Os02g0167000,LOC_Os02g07040,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os02g0167000,PCMDB
Os02g0167100,LOC_Os02g07044,"leaf mesophyll,leaf procambium",Leaf,OsStr23,PCMDB
Os02g0167300,LOC_Os02g07060,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,OsTUB5,PCMDB
Os02g0167600,LOC_Os02g07110,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsSAUR6,PCMDB
Os02g0168100,LOC_Os02g07160,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsHPPD,PCMDB
Os02g0168200,LOC_Os02g07170,leaf procambium,Leaf,Os02g0168200,PCMDB
Os02g0168500,LOC_Os02g07200,"leaf epidermis,mestome sheath",Leaf,Os02g0168500,PCMDB
Os02g0168600,LOC_Os02g07210,leaf procambium,Leaf,OsOTU1,PCMDB
Os02g0168800,LOC_Os02g07230,"leaf epidermis,leaf mesophyll,leaf procambium,Mesophyll precursor",Leaf,PBD,PCMDB
Os02g0168900,LOC_Os02g07240,"leaf mesophyll,leaf procambium",Leaf,Os02g0168900,PCMDB
Os02g0169300,LOC_Os02g07260,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsPGK2,PCMDB
Os02g0169900,LOC_Os02g07350,leaf mesophyll,Leaf,OsIMP-2,PCMDB
Os02g0170100,LOC_Os02g07410,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0170100,PCMDB
Os02g0170500,LOC_Os02g07450,"leaf mesophyll,leaf procambium",Leaf,OsHAP5A,PCMDB
Os02g0170900,LOC_Os02g07480,"leaf epidermis,mestome sheath",Leaf,Os02g0170900,PCMDB
Os02g0173100,LOC_Os02g07680,leaf mesophyll,Leaf,CYP97B4,PCMDB
Os02g0173200,LOC_Os02g07690,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsVQ5,PCMDB
Os02g0174100,LOC_Os02g07780,leaf mesophyll,Leaf,OsSPL4,PCMDB
Os02g0174200,LOC_Os02g07790,"leaf epidermis,leaf mesophyll",Leaf,OsDPK2,PCMDB
Os02g0174800,LOC_Os02g07820,mestome sheath,Leaf,Os02g0174800,PCMDB
Os02g0175100,LOC_Os02g07840,"leaf epidermis,leaf mesophyll",Leaf,OsbZIP15,PCMDB
Os02g0175400,LOC_Os02g07870,leaf mesophyll,Leaf,VHA-A2,PCMDB
Os02g0175600,LOC_Os02g07890,"leaf epidermis,leaf mesophyll",Leaf,Os02g0175600,PCMDB
Os02g0175800,LOC_Os02g07910,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OJ1077_E05.15-1,PCMDB
Os02g0175900,LOC_Os02g07920,leaf epidermis,Leaf,Os02g0175900,PCMDB
Os02g0175950,LOC_Os02g07930,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os02g0175950,PCMDB
Os02g0176000,LOC_Os02g07930,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,OsBBX2,PCMDB
Os02g0176400,LOC_Os02g07980,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0176400,PCMDB
Os02g0176650,LOC_Os02g08010,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os02g0176650,PCMDB
Os02g0176700,LOC_Os02g08010,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,osACA9,PCMDB
Os02g0177500,LOC_Os02g08090,"leaf epidermis,leaf mesophyll",Leaf,Os02g0177500,PCMDB
Os02g0177600,LOC_Os02g08100,"leaf epidermis,leaf mesophyll",Leaf,4CL3,PCMDB
Os02g0177900,LOC_Os02g08130,leaf mesophyll,Leaf,Os02g0177900,PCMDB
Os02g0178400,LOC_Os02g08180,leaf mesophyll,Leaf,Os02g0178400,PCMDB
Os02g0178800,LOC_Os02g08230,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsGL1-2,PCMDB
Os02g0179100,LOC_Os02g08260,leaf mesophyll,Leaf,Os02g0179100,PCMDB
Os02g0180000,LOC_Os02g08364,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsPP2C11,PCMDB
Os02g0180100,LOC_Os02g08370,"leaf epidermis,leaf mesophyll",Leaf,Os02g0180100,PCMDB
Os02g0180200,LOC_Os02g08380,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os02g0180200,PCMDB
Os02g0180700,LOC_Os02g08420,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,OsCCR21,PCMDB
Os02g0181300,LOC_Os02g08440,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,WRKY71,PCMDB
Os02g0181800,LOC_Os02g08480,"leaf epidermis,mestome sheath",Leaf,Os02g0181800,PCMDB
Os02g0181900,LOC_Os02g08490,"leaf epidermis,mestome sheath",Leaf,ClpB-m,PCMDB
Os02g0182700,LOC_Os02g08540,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0182700,PCMDB
Os02g0182850,LOC_Os02g09050,leaf procambium,Leaf,OJ1572_F02.1,PCMDB
Os02g0182900,LOC_Os02g09060,mestome sheath,Leaf,APIP10,PCMDB
Os02g0184100,LOC_Os02g09140,"leaf epidermis,leaf mesophyll",Leaf,OJ1572_F02.10-1,PCMDB
Os02g0184200,LOC_Os02g09150,leaf mesophyll,Leaf,Os02g0184200,PCMDB
Os02g0185200,LOC_Os02g09240,leaf epidermis,Leaf,Os02g0185200,PCMDB
Os02g0186500,LOC_Os02g09359,leaf mesophyll,Leaf,OsRLCK64,PCMDB
Os02g0186700,LOC_Os02g09380,leaf mesophyll,Leaf,Os02g0186700,PCMDB
Os02g0186900,LOC_Os02g09400,leaf mesophyll,Leaf,Os02g0186900,PCMDB
Os02g0187100,LOC_Os02g09420,leaf epidermis,Leaf,OsCYL1,PCMDB
Os02g0187500,LOC_Os02g09460,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os02g0187500,PCMDB
Os02g0187600,LOC_Os02g09470,leaf mesophyll,Leaf,Os02g0187600,PCMDB
Os02g0187700,LOC_Os02g09480,"mestome sheath,Mesophyll precursor",Leaf,Os02g0187700,PCMDB
Os02g0187800,LOC_Os02g09490,"leaf epidermis,mestome sheath",Leaf,GH2,PCMDB
Os02g0188000,LOC_Os02g09510,leaf mesophyll,Leaf,OsUGT84C1,PCMDB
Os02g0189000,LOC_Os02g09590,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Mesophyll precursor",Leaf,Os02g0189000,PCMDB
Os02g0189100,LOC_Os02g09600,leaf mesophyll,Leaf,OsMED11_1,PCMDB
Os02g0189200,LOC_Os02g09610,mestome sheath,Leaf,OsGELP31,PCMDB
Os02g0189400,LOC_Os02g09630,leaf epidermis,Leaf,Os02g0189400,PCMDB
Os02g0190900,LOC_Os02g09780,leaf epidermis,Leaf,Os02g0190900,PCMDB
Os02g0191300,LOC_Os02g09810,"leaf mesophyll,mestome sheath",Leaf,OsATL6,PCMDB
Os02g0192100,LOC_Os02g09890,"leaf epidermis,leaf mesophyll",Leaf,Os02g0192100,PCMDB
Os02g0192700,LOC_Os02g09940,"leaf mesophyll,leaf procambium",Leaf,Pre,PCMDB
Os02g0193000,LOC_Os02g09960,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,OsLysM-RLK1,PCMDB
Os02g0193200,LOC_Os02g09980,leaf mesophyll,Leaf,P0437H03.118,PCMDB
Os02g0193300,LOC_Os02g09990,mestome sheath,Leaf,P0437H03.120,PCMDB
Os02g0193800,LOC_Os02g10040,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os02g0193800,PCMDB
Os02g0193900,LOC_Os02g10050,leaf epidermis,Leaf,P0437H03.127,PCMDB
Os02g0194100,LOC_Os02g10070,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,P0437H03.132,PCMDB
Os02g0194200,LOC_Os02g10080,mestome sheath,Leaf,OsC3H14,PCMDB
Os02g0194700,LOC_Os02g10120,"vascular leaf,leaf",Leaf,OsLOX1,PCMDB
Os02g0195600,LOC_Os02g10200,"leaf epidermis,mestome sheath,leaf procambium",Leaf,SAP4,PCMDB
Os02g0195800,LOC_Os02g10220,"leaf epidermis,leaf mesophyll",Leaf,OsDjC17,PCMDB
Os02g0196000,LOC_Os02g10230,leaf epidermis,Leaf,Os02g0196000,PCMDB
Os02g0196600,LOC_Os02g10290,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,HMA4,PCMDB
Os02g0196700,LOC_Os02g10300,leaf mesophyll,Leaf,OsPGL6,PCMDB
Os02g0196800,LOC_Os02g10310,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,FAH,PCMDB
Os02g0197600,LOC_Os02g10390,"leaf mesophyll,mestome sheath,leaf procambium,Mesophyll precursor",Leaf,P0026H03.3-1,PCMDB
Os02g0197900,LOC_Os02g10440,mestome sheath,Leaf,OsSTA53,PCMDB
Os02g0198200,LOC_Os02g10470,leaf epidermis,Leaf,Os02g0198200,PCMDB
Os02g0198300,LOC_Os02g10480,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,P0026H03.16-1,PCMDB
Os02g0198500,LOC_Os02g10500,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,P0026H03.18-1,PCMDB
Os02g0198600,LOC_Os02g10510,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0198600,PCMDB
Os02g0198700,LOC_Os02g10520,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsSub12,PCMDB
Os02g0200900,LOC_Os02g10700,"leaf mesophyll,leaf procambium",Leaf,OsFbox072,PCMDB
Os02g0202000,LOC_Os02g10760,leaf epidermis,Leaf,ERF3,PCMDB
Os02g0202200,LOC_Os02g10780,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,OsSPX2,PCMDB
Os02g0202500,LOC_Os02g10810,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os02g0202500,PCMDB
Os02g0204000,LOC_Os02g10940,leaf mesophyll,Leaf,Os02g0204000,PCMDB
Os02g0204201,LOC_Os02g10970,leaf mesophyll,Leaf,OsCYP95,PCMDB
Os02g0204300,LOC_Os02g10970,leaf mesophyll,Leaf,OsCYP95,PCMDB
Os02g0204700,LOC_Os02g11020,leaf procambium,Leaf,OsCYP734A2,PCMDB
Os02g0205300,LOC_Os02g11050,leaf epidermis,Leaf,OsRPT6,PCMDB
Os02g0205500,LOC_Os02g11070,mestome sheath,Leaf,Os02g0205500,PCMDB
Os02g0206700,LOC_Os02g11640,leaf mesophyll,Leaf,Os02g0206700,PCMDB
Os02g0207900,LOC_Os02g11720,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0207900,PCMDB
Os02g0208100,LOC_Os02g11740,"leaf mesophyll,Mesophyll precursor",Leaf,OsNTT2,PCMDB
Os02g0208200,LOC_Os02g11750,leaf mesophyll,Leaf,Os02g0208200,PCMDB
Os02g0208300,LOC_Os02g11760,"leaf mesophyll,leaf procambium",Leaf,OsABCG39,PCMDB
Os02g0208500,LOC_Os02g11770,"leaf mesophyll,vascular leaf",Leaf,OsCDT4,PCMDB
Os02g0208900,LOC_Os02g11820,"leaf mesophyll,leaf procambium",Leaf,OJ1006_A02.21-1,PCMDB
Os02g0209000,LOC_Os02g11830,leaf mesophyll,Leaf,Os02g0209000,PCMDB
Os02g0209100,LOC_Os02g11840,"leaf epidermis,leaf mesophyll",Leaf,Os02g0209100,PCMDB
Os02g0209300,LOC_Os02g11859,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0209300,PCMDB
Os02g0214500,LOC_Os02g12310,mestome sheath,Leaf,tms5,PCMDB
Os02g0214900,LOC_Os02g12350,"leaf mesophyll,leaf procambium",Leaf,OJ1006_D05.27-2,PCMDB
Os02g0215200,LOC_Os02g12380,"leaf mesophyll,leaf procambium",Leaf,HDAC2,PCMDB
Os02g0216300,LOC_Os02g12480,"leaf procambium,Phloem",Leaf,Os02g0216300,PCMDB
Os02g0216500,LOC_Os02g12490,"leaf epidermis,leaf mesophyll",Leaf,Os02g0216500,PCMDB
Os02g0217450,LOC_Os02g12560,"leaf mesophyll,leaf procambium",Leaf,Os02g0217450,PCMDB
Os02g0217850,LOC_Os02g12610,"leaf mesophyll,leaf procambium",Leaf,Os02g0217850,PCMDB
Os02g0217900,LOC_Os02g12610,"leaf mesophyll,leaf procambium",Leaf,HSP19.0,PCMDB
Os02g0218200,LOC_Os02g12650,"leaf epidermis,leaf mesophyll",Leaf,Os02g0218200,PCMDB
Os02g0219900,LOC_Os02g12760,leaf procambium,Leaf,Os02g0219900,PCMDB
Os02g0220500,LOC_Os02g12794,leaf mesophyll,Leaf,Os02g0220500,PCMDB
Os02g0220700,LOC_Os02g12810,leaf mesophyll,Leaf,Os02g0220700,PCMDB
Os02g0221500,LOC_Os02g12850,leaf mesophyll,Leaf,RBPI,PCMDB
Os02g0221600,LOC_Os02g12870,"leaf mesophyll,mestome sheath",Leaf,Os02g0221600,PCMDB
Os02g0222100,LOC_Os02g12900,mestome sheath,Leaf,Os02g0222100,PCMDB
Os02g0223700,LOC_Os02g13060,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os02g0223700,PCMDB
Os02g0224100,LOC_Os02g13100,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsPP2C12,PCMDB
Os02g0224300,LOC_Os02g13130,"leaf mesophyll,leaf procambium",Leaf,Os02g0224300,PCMDB
